"Antimicrobial Susceptibility Testing: list of antibiotic recommeded to tested for organism or ogranism gorups","...2","...3"
NA,"Oxazolidinones","Linezolid, Tedizolid"
NA,"Streptogramins","Quinupristin-dalfopristin"
NA,"Phenicols","Chloramphenicol"
NA,"Nitrofurans","Nitrofurantoin"
NA,"Rifamycins","Rifampin"
NA,"Other","Fusidic acid, Mupirocin"
"Stenotrophomonas maltophilia","Beta-Lactam Combination Agents","Ticarcillin-clavulanate"
NA,"Cephems","Ceftazidime, Cefiderocol"
NA,"Tetracyclines","Minocycline"
NA,"Fluoroquinolones","Levofloxacin"
NA,"Folate Pathway Antagonists","Trimethoprim-sulfamethoxazole"
NA,"Phenicols","Chloramphenicol"
"Streptococcus pneumoniae","Penicillins","Penicillin (oral), Penicillin (parenteral, non-meningitis), Penicillin (parenteral, meningitis), Ampicillin, Ampicillin-sulbactam, Amoxicillin-clavulanate"
NA,"Cephems","Cefuroxime (oral), Cefuroxime (parenteral, non-meningitis), Cefuroxime (parenteral, meningitis), Cefpodoxime, Cefotaxime (non-meningitis), Ceftriaxone (non-meningitis), Cefotaxime (meningitis), Ceftriaxone (meningitis), Ceftaroline, Cefditoren"
NA,"Carbapenems","Doripenem, Ertapenem, Imipenem, Meropenem"
NA,"Macrolides","Erythromycin, Azithromycin, Clarithromycin, Dirithromycin"
NA,"Ketolides","Telithromycin"
NA,"Tetracyclines","Tetracycline, Doxycycline"
NA,"Fluoroquinolones","Levofloxacin, Moxifloxacin, Gemifloxacin"
NA,"Folate Pathway Antagonists","Trimethoprim-sulfamethoxazole"
NA,"Lincosamides","Clindamycin"
NA,"Glycopeptides","Vancomycin"
NA,"Oxazolidinones","Linezolid"
NA,"Phenicols","Chloramphenicol"
NA,"Rifamycins","Rifampin"
"Streptococcus spp. viridans group","Penicillins","Penicillin, Ampicillin, Ampicillin-sulbactam"
NA,"Cephems","Cefotaxime, Ceftriaxone, Ceftaroline"
NA,"Carbapenems","Doripenem, Ertapenem, Imipenem, Meropenem"
NA,"Macrolides","Erythromycin"
NA,"Fluoroquinolones","Levofloxacin, Moxifloxacin"
NA,"Lincosamides","Clindamycin"
NA,"Tetracyclines","Tetracycline"
NA,"Glycopeptides","Vancomycin"
"Streptococcus spp. Beta-hemolytic group","Penicillins","Penicillin, Ampicillin"
NA,"Cephems","Cefotaxime, Ceftriaxone, Ceftaroline"
NA,"Carbapenems","Doripenem, Ertapenem, Imipenem, Meropenem"
NA,"Macrolides","Erythromycin, Azithromycin, Clarithromycin"
NA,"Fluoroquinolones","Levofloxacin, Moxifloxacin"
NA,"Lincosamides","Clindamycin"
NA,"Tetracyclines","Tetracycline, Doxycycline"
NA,"Glycopeptides","Vancomycin"
